name,address,district,leasehold,property_type,year,rooms,price,bathrooms,price_psf,sqf_list,link,scrape_date
 Parc Vera,10 Hougang St 32 , D19, 99 years,Condo,2015 ,4 Beds,"$1,900,000",2 Baths,"$1,348 psf","1,410 sqft ",https://www.99.co/singapore/sale/property/parc-vera-condo-avn5oTjCPZhTvEVtKDxJSw#enquiry_position--1+enquiry_source--Search_Map+new_listing_filtered--true,2022-11-20
 Parc Vera,10 Hougang St 32 , D19, 99 years,Condo,2015 ,4 Beds,unknown,2 Baths,unknown,"1,410 sqft ",https://www.99.co/singapore/sale/property/parc-vera-condo-avn5oTjCPZhTvEVtKDxJSw#enquiry_position--1+enquiry_source--Search_Map+new_listing_filtered--true,2022-11-20
 Boathouse Residences,33 Upp Serangoon View , D19, 99 years,Condo,2015 ,2 Beds,"$1,200,000",2 Baths,"$1,313 psf",914 sqft ,https://www.99.co/singapore/sale/property/boathouse-residences-condo-3wJgbVYpeTrnyKcJFXtVfb#enquiry_position--1+enquiry_source--Search_Map,2022-11-20
 Kovan Melody,33 Kovan Rd , D19, 99 years,Condo,2006 ,3 Beds,"$1,900,000",3 Baths,"$1,447 psf","1,313 sqft ",https://www.99.co/singapore/sale/property/kovan-melody-condo-42X6MfYhVFVVoaatQUbQid#enquiry_position--2+enquiry_source--Search_Map,2022-11-20
 The Minton,10C Hougang St 11 , D19, 99 years,Condo,2014 ,3 Beds,"$1,680,000",2 Baths,"$1,501 psf","1,119 sqft ",https://www.99.co/singapore/sale/property/the-minton-condo-2ZY4cz8m6grVcqDXfGdxwt#enquiry_position--3+enquiry_source--Search_Map,2022-11-20
 Kingsford Waterbay,72 Upp Serangoon View , D19, 99 years,Condo,2018 ,4 Beds,"$1,680,000",3 Baths,"$1,515 psf","1,109 sqft ",https://www.99.co/singapore/sale/property/kingsford-waterbay-condo-79sogyXgmLKg9ropxWNQ3T#enquiry_position--4+enquiry_source--Search_Map,2022-11-20
 Kovan Residences,7 Kovan Rd , D19, 99 years,Condo,2011 ,4 Beds,"$2,850,000",3 Baths,"$1,531 psf","1,862 sqft ",https://www.99.co/singapore/sale/property/kovan-residences-condo-NmBHo3PcWZbsVxit4XTbEM#enquiry_position--5+enquiry_source--Search_Map,2022-11-20
 The Florence Residences,83 Hougang Ave 2 , D19, 99 years,Condo,2023 ,1 Bed,"$900,000",1 Bath,"$1,708 psf",527 sqft ,https://www.99.co/singapore/sale/property/the-florence-residences-condo-LS6T4SGvQGpVSJuzxEzGm4#enquiry_position--6+enquiry_source--Search_Map,2022-11-20
 The Florence Residences,97 Hougang Ave 2 , D19, 99 years,Condo,2023 ,1 Bed,"$885,000",1 Bath,"$1,829 psf",484 sqft ,https://www.99.co/singapore/sale/property/the-florence-residences-condo-mCV8jQ5RmVTe5a2hKZAKqo#enquiry_position--7+enquiry_source--Search_Map,2022-11-20
 The Florence Residences,99 Hougang Ave 2 , D19, 99 years,Condo,2023 ,1 Bed,"$888,888",1 Bath,"$1,837 psf",484 sqft ,https://www.99.co/singapore/sale/property/the-florence-residences-condo-QUdwvYQySqo47yzVHWSoDi#enquiry_position--8+enquiry_source--Search_Map,2022-11-20
 The Florence Residences,97 Hougang Ave 2 , D19, 99 years,Condo,2023 ,2 Beds,"$1,350,000",2 Baths,"$1,872 psf",721 sqft ,https://www.99.co/singapore/sale/property/the-florence-residences-condo-L9zZHP8JtTmJiKpekq2iK9#enquiry_position--9+enquiry_source--Search_Map,2022-11-20
 Parkwood Residences,208 Yio Chu Kang Rd , D19, 99 years,Condo,2023 ,3 Beds,"$1,620,000",2 Baths,"$1,882 psf",861 sqft ,https://www.99.co/singapore/sale/property/parkwood-residences-condo-83D6g4qBG9rhwgBBUUsjmY#enquiry_position--10+enquiry_source--Search_Map,2022-11-20
 The Florence Residences,83 Hougang Ave 2 , D19, 99 years,Condo,2023 ,2 Beds,"$1,276,000",2 Baths,"$1,913 psf",667 sqft ,https://www.99.co/singapore/sale/property/the-florence-residences-condo-DRoJN9zWfTdY33efpv3oby#enquiry_position--11+enquiry_source--Search_Map,2022-11-20
 The Florence Residences,89 Hougang Ave 2 , D19, 99 years,Condo,2023 ,2 Beds,"$1,280,000",2 Baths,"$1,919 psf",667 sqft ,https://www.99.co/singapore/sale/property/the-florence-residences-condo-HQtQ3TKoCMhJxAYfXUKubb#enquiry_position--12+enquiry_source--Search_Map,2022-11-20
 The Florence Residences,87 Hougang Ave 2 , D19, 99 years,Condo,2023 ,3 Beds,"$1,938,000",2 Baths,"$1,958 psf",990 sqft ,https://www.99.co/singapore/sale/property/the-florence-residences-condo-KeT9tibQ846MN96YfonMzY#enquiry_position--13+enquiry_source--Search_Map,2022-11-20
 Stars Of Kovan,980 Upp Serangoon Rd , D19, 99 years,Condo,2020 ,2 Beds,"$1,500,000",2 Baths,"$1,992 psf",753 sqft ,https://www.99.co/singapore/sale/property/stars-of-kovan-condo-ButJexoV7FsztbEK2WBYck#enquiry_position--14+enquiry_source--Search_Map,2022-11-20
 The Tembusu,107B Tampines Rd , D19, Freehold,Condo,2017 ,1 Bed,"$998,000",1 Bath,"$2,105 psf",474 sqft ,https://www.99.co/singapore/sale/property/the-tembusu-condo-7qJC2yCcCWCFRRgcz7H5CK#enquiry_position--15+enquiry_source--Search_Map,2022-11-20
